name,profits,marketValue,revenue,industry
DSME,-2822.9,1257,13265,Heavy Equipment
DSV,305.7,7418,7563,Trucking
DTE Energy,727,15390,10354,Electric Utilities
DVB Bank,50.6,1267,1340,Regional Banks
DaVita,269.7,15437,13782,Healthcare Services
Daewoo Securities,264,2424,1187,Investment Services
Dah Sing Financial Holdings,251.2,2220,1105,Regional Banks
Dai Nippon Printing,242.7,6710,12064,Printing & Publishing
Dai-ichi Life Insurance,1522.3,15608,55738,Life & Health Insurance
Daiichi Sankyo,2932.2,16933,8369,Pharmaceuticals
Daikin Industries,1094.7,23934,16801,Construction Materials
Daimler,9341.5,75406,165747,Auto & Truck Manufacturers
Daishi Bank,124,1303,634,Regional Banks
Daito Trust Construction,543.4,11212,11660,Construction Services
Daiwa House Industry,1250.8,18762,25416,Construction Services
Daiwa Securities,1107.3,11250,5647,Investment Services
Dali Foods Group,463.4,8933,2683,Food Processing
Dalian Wanda Commercial Properties,4738,29914,19849,
Damac Properties,1108.9,4694,2149,Real Estate
Danaher,2596.8,66404,20909,Conglomerates
Dangote Cement,934.1,13786,2483,Construction Materials
Danone,1421.6,46476,24853,Food Processing
Danske Bank,1860.8,27172,11581,Regional Banks
Daqin Railway,2283.2,15020,8610,Railroads
Darden Restaurants,340.7,8022,7022,Restaurants
Dassault Aviation,156.9,10106,4631,Aerospace & Defense
Dassault Systemes,466,20218,3178,Software & Programming
Datang International Power,451.9,7430,9743,Electric Utilities
Delek Group,1.8,2108,2656,Investment Services
Delhaize Group,405.9,10548,27052,Food Retail
Delphi Automotive,1165,20915,15165,Auto & Truck Parts
Delta Air Lines,4726,34428,40474,Airline
Delta Electronics,589.4,12060,6407,Electronics
Delta Lloyd,142.1,2406,6639,Diversified Insurance
Denso,2387.2,36123,37330,Auto & Truck Parts
Dentsply Sirona,251.2,14289,2674,
Dentsu,767.3,15706,8574,Advertising
Derwent London,1170.6,5071,314,Real Estate
Desarrolladora Homex,1160.1,177,24,Construction Services
Deutsche Annington Immobilien,1024.1,15400,3183,
Deutsche Bank,-7532.9,26385,48312,Major Banks
Deutsche Boerse,738,16281,2602,Investment Services
Deutsche Lufthansa,1882.9,7279,35548,Airline
Deutsche Pfandbriefbank,255.1,1357,2273,Regional Banks
Deutsche Post,1707.7,35579,65681,Air Courier
Deutsche Telekom,3608.4,81762,76768,Telecommunications services
Deutsche Wohnen,1287.9,9894,1526,
Devon Energy,-14459,18441,15058,Oil & Gas Operations
Dexia,180.8,44,725,Regional Banks
Diageo,3782.8,68643,16071,Beverages
Dick's Sporting Goods,330.4,5300,7271,Specialty Stores
Digital Realty Trust,296.7,12622,1756,Real Estate
Direct Line Insurance,631.4,6843,4884,Diversified Insurance
Discover Financial Services,2276,23406,10063,Consumer Financial Services
Discovery Communications,1034,11834,6378,Broadcasting & Cable
Dixons Carphone,120.7,6975,12155,Specialty Stores
Doha Bank,359.1,2636,1025,Regional Banks
Dollar General,1165.1,23346,20369,Discount Stores
Dollar Tree,282.4,19038,15498,Discount Stores
Dominion Resources,1899,43169,11581,Electric Utilities
Dongbu Insurance,370,4453,11850,Property & Casualty Insurance
Dongfeng Motor Group,1841.9,9853,20152,Auto & Truck Manufacturers
Dongxing Securities,325.2,9537,1301,Investment Services
Doosan,-345.7,1972,16777,Construction Services
Dover,581.5,10447,6863,Conglomerates
Dow Chemical,7634,59019,48770,Diversified Chemicals
Dr Pepper Snapple Group,764,16214,6264,Beverages
Dr. Reddy's Laboratories,381.1,8041,2428,Pharmaceuticals
Dubai Islamic Bank,866.5,6606,1992,Regional Banks
Dufry AG,-82.4,7071,6376,Specialty Stores
Duke Energy,2819,53052,23441,Electric Utilities
E-L Financial,417.9,2226,1539,Diversified Insurance
E-Trade Financial,381,7307,1551,Investment Services
E-mart,401.8,4375,12052,Discount Stores
E.ON,-7761.3,20938,128877,Electric Utilities
E.Sun Financial,403.6,4323,1672,Regional Banks
EADS,2989.6,50877,71470,Aerospace & Defense
EDF,660.9,25591,83176,Electric Utilities
EDP-Energias de Portugal,1079.2,12567,17207,Electric Utilities
EI du Pont de Nemours,1953,57505,27932,Diversified Chemicals
EMC,2006,51891,24639,Computer Storage Devices
EMS-Chemie Holding,390.8,11440,1979,Specialized Chemicals
EOG Resources,-4524.5,44497,8704,Oil & Gas Operations
EQT,85.2,10933,1812,Oil & Gas Operations
EXOR,580.2,9075,156933,Investment Services
East Japan Railway,1922.2,36201,23460,Railroads
East Money Information,294.1,11214,458,Computer Services
East West Bancorp,392.2,5512,1249,Regional Banks
Eastman Chemical,848,11323,9581,Specialized Chemicals
EasyJet,846.3,8283,7237,Airline
Eaton,1979,28852,20855,Other Industrial Equipment
Ecolab,1002.1,34132,13545,Specialized Chemicals
Ecopetrol,-1450.3,19984,18945,Oil & Gas Operations
Edison International,1049,22367,11524,Electric Utilities
Edwards Lifesciences,494.9,22937,2494,Medical Equipment & Supplies
Eiffage,346,7017,15591,Construction Services
Eisai,370.8,19404,4679,Pharmaceuticals
El Puerto de Liverpool,580,15928,5748,Department Stores
Electric Power Development,361.2,5632,6489,Electric Utilities
Electrolux Group,185.6,8203,14640,Household Appliances
Electronic Arts,652,20374,4292,Recreational Products
Eletrobrás,-4323.4,3277,9756,Electric Utilities
Eli Lilly,2408.4,85962,19959,Pharmaceuticals
Emaar Properties,1111.4,13450,3927,Real Estate
Emerson Electric,2534,35674,21429,Electrical Equipment
Emirates Integrated Telecom,528.5,8152,3359,Telecommunications services
Emirates NBD,1815.9,12710,5287,Regional Banks
Empire,-874.1,4513,18597,Food Retail
Empresas CMPC,285.3,5383,4836,Forest Products
EnBW-Energie Baden,138.5,7213,23472,Electric Utilities
Enagas,457.6,7095,1286,Natural Gas Utilities
Enbridge,196.2,39345,27416,Oil Services & Equipment
Endo,-1508.6,7548,3269,Pharmaceuticals
Enel,2437.6,44569,76917,Electric Utilities
Eni,-9781.8,57713,87244,Oil & Gas Operations
Enka,527.9,7044,4541,Construction Services
Entergy,-156.7,13335,11286,Electric Utilities
Entermate,-8348,88,20272,Computer Services
Equifax,429.1,13768,2664,Business & Personal Services
Equinix,187.8,22227,2726,Computer Services
Equity Residential,532.2,25826,2727,Real Estate
Ericsson,1677,27366,29014,Communications Equipment
Erste Group Bank,1073.6,12573,9787,Regional Banks
Essex Property Trust,232.1,14686,1222,Real Estate
Essilor International,839.5,28064,7448,Medical Equipment & Supplies
Estée Lauder,1180.6,34628,11064,Household/Personal Care
Etisalat,2239,45223,14123,Telecommunications services
Eurazeo,1415,4932,4224,Investment Services
Eurobank Ergasias,-1309.6,2152,3400,Regional Banks
Eutelsat Communications,424.2,7051,1694,Broadcasting & Cable
Everbright Securities,1216.6,11005,2609,Investment Services
Everest Re Group,967.7,8196,6022,Diversified Insurance
Evergrande Real Estate,1678.5,10032,21555,Real Estate
Eversource Energy,878.5,17573,7955,Electric Utilities
Evonik,1108.9,14771,14978,
Exelon,2269,31421,28708,Electric Utilities
Expedia,764.5,16189,6672,Business & Personal Services
Expeditors International,457.2,8936,6617,Air Courier
Experian,674,17374,4656,Business & Personal Services
Express Scripts,2476.4,46543,101752,Healthcare Services
ExxonMobil,16150,363270,236810,Oil & Gas Operations
Ezdan Holding Group,456.4,14372,505,Real Estate
FBN Holdings,403.9,599,2815,Regional Banks
FCC,-51.3,3242,7181,Construction Services
FIBI Holdings,55.3,514,1001,Regional Banks
FMC Technologies,393.1,6698,6464,Oil Services & Equipment
Facebook,3670,314758,17927,Computer Services
Fairfax Financial,586.3,13761,11072,Property & Casualty Insurance
Falabella,793.9,18413,12816,Department Stores
Fannie Mae,10954,2003,111954,Investment Services
Fanuc,1531.8,34871,5707,Other Industrial Equipment
Far Eastern New Century,253,4117,6864,Diversified Chemicals
Fast Retailing,433.4,30354,14444,Apparel/Footwear Retail
Fastenal,515,13182,3903,Home Improvement Retail
FedEx,1136,44644,49500,Air Courier
Femsa,1096.8,33621,19430,Beverages
Ferrovial,798.4,15613,10758,Other Transportation
Fiat Chrysler Automobiles,370.4,10403,122740,Auto & Truck Manufacturers
Fibra Uno,361.1,7418,701,
Fidelity National Financial,527,9066,9151,Property & Casualty Insurance
Fidelity National Information,631.5,21252,6641,Business & Personal Services
Fifth Third Bancorp,1667,14594,6815,Regional Banks
Financial Street Holdings,540,4184,3088,Real Estate
Financiere de l'Odet,329.4,6283,12003,Conglomerates
Finatis,-78.7,305,51943,Food Retail
Finmeccanica,265,7116,14410,Aerospace & Defense
First Citizens BancShares,207,3101,1379,Regional Banks
First Data,-1481,11690,11451,
First Financial Holding,504.1,5569,1821,Regional Banks
First Gulf Bank,1624.3,16049,2975,Regional Banks
First Niagara Financial,220.8,3796,1538,Thrifts & Mortgage Finance
First Pacific,85.1,2661,6437,Investment Services
First Republic Bank,555.1,10328,2094,Regional Banks
"First Solar,",545.7,6290,3577,Electronics
FirstEnergy,578,14638,14931,Electric Utilities
FirstRand,1730.8,18457,5763,Major Banks
Fiserv,712,21862,5254,Software & Programming
FleetCor Technologies,362.4,14288,1703,Business & Personal Services
Flextronics International,517.8,6704,24598,Electronics
Fluor,412.5,7556,18114,Construction Services
Focus Media Information Technology,0.5,20856,1324,Computer Hardware
Foncière des Régions,534,6173,1002,Real Estate
Foot Locker,541,8221,7412,Apparel/Footwear Retail
Ford Motor,7373,54196,149558,Auto & Truck Manufacturers
Formosa Chemicals,868.5,15213,10372,Specialized Chemicals
Formosa Petrochemical,1489.6,26713,19825,Oil & Gas Operations
Formosa Plastics,972.4,15959,6032,Specialized Chemicals
Fortescue Metals Group,317.9,8083,7040,Iron & Steel
Fortis (Canada),629.2,8700,5258,Electric Utilities
Fortum,-159.7,12882,3836,Electric Utilities
Fortune Brands Home & Security,330.7,8714,4735,
Foshan Haitian Flavouring and Food Company,398.5,12142,1780,
Fosun International,1278,12561,12509,Iron & Steel
Founder Securities,681.5,9636,927,Investment Services
Franklin Resources,1905.1,24103,7683,Investment Services
Franshion Properties (China),488.8,3096,2970,Consumer Financial Services
Frasers Centrepoint,501.4,3549,2329,
Freddie Mac,6376,1047,66484,Investment Services
Freeport,-12204,14611,16235,Diversified Metals & Mining
Fresenius,1505.9,40038,30635,Medical Equipment & Supplies
Frontier Communications,-199,6599,5576,Telecommunications services
Fubon Financial,2002.7,12623,21578,Investment Services
Fuji Heavy Industries,3380.9,27645,26728,Auto & Truck Manufacturers
Fujifilm Holdings,901,21184,20806,Consumer Electronics
Fujitsu,641.3,7795,39624,Computer Hardware
Fukuoka Financial Group,348.5,3221,1901,Regional Banks
GAIL India,516.8,6982,9873,Natural Gas Utilities
GCL System Integration Technology,940.3,5697,1225,Electrical Equipment
GD Power Development,694.3,9019,8606,Electric Utilities
GDF SUEZ,-5119.9,38961,77495,Electric Utilities
GEA Group,401.3,9174,5100,Conglomerates
GF Securities,2107.3,18832,6726,Investment Services
GFNorte,1077.4,15182,6928,Regional Banks
GKN,301,7223,11048,Auto & Truck Parts
GPT Group,650.1,6681,518,Real Estate
GS Engineering,23,1734,9341,Construction Services
GS Holdings,434.9,4679,10869,Oil & Gas Operations
Galaxy Entertainment,536.7,15118,6577,Casinos & Gaming
Galenica,312.7,9784,3938,
Galp Energia,144.2,11260,17216,Oil & Gas Operations
GameStop,402.8,3407,9364,Specialty Stores
Gap,920,9533,15797,Apparel/Footwear Retail
Garanti Bank,1383.4,12499,8269,Regional Banks
Garmin,456.2,8103,2820,Consumer Electronics
Gas Natural Fenosa,1665.6,20590,28849,Natural Gas Utilities
Gazprom,4877.4,57146,102051,Oil & Gas Operations
Geberit,438.7,13541,2694,Construction Materials
Gecina,1784.5,8725,658,Real Estate
Gemdale,704.6,8422,4740,Real Estate
General Dynamics,2965,42909,31469,Aerospace & Defense
General Electric,1678,285611,122364,Conglomerates
General Growth Properties,1374.6,25222,2419,Real Estate
General Mills,1504.6,35997,16934,Food Processing
General Motors,9687,49552,152356,Auto & Truck Manufacturers
Generali Group,2253.3,24093,97107,Diversified Insurance
Genting,355,8994,4630,Casinos & Gaming
Genting Hong Kong,2113.1,2876,690,Hotels & Motels
Genuine Parts,702.7,14470,15262,Specialty Stores
Genworth Financial,-615,1490,8833,Diversified Insurance
George Weston,411.9,11186,36654,Food Retail
Gilead Sciences,18108,138078,32170,Biotechs
Givaudan,659.5,18070,4565,Household/Personal Care
Gjensidige Forsikring,469.4,8299,3145,Property & Casualty Insurance
GlaxoSmithKline,12867.2,104243,36550,Pharmaceuticals
Glencore International,-4952.9,33566,170510,Diversified Metals & Mining
Global Logistic Properties,647.8,6822,777,Real Estate
Goldcorp,-4403.5,14216,4370,Diversified Metals & Mining
Golden Agri-Resources,-16.7,4002,6502,Food Processing
Goldman Sachs Group,4374,72964,32792,Investment Services
Goodman Group,1211.6,9288,1009,Real Estate
Goodyear,307,8653,16443,Auto & Truck Parts
Great Eagle Holdings,427.3,2697,1088,Hotels & Motels
Great Portland Estates,977.1,3618,197,Real Estate
Great Wall Motor,1284.4,10434,11630,Auto & Truck Manufacturers
Gree Electric Appliances,2294.6,,19684,Household Appliances
Greenland Holdings Group,773,24231,20968,Real Estate
Grifols,590.1,13642,4363,Biotechs
Group 1 Automotive,90.4,1348,10633,Specialty Stores
Grupa PZU,621,7811,5292,Property & Casualty Insurance
Grupo ACS,804.3,10225,38729,Construction Services
Grupo Aval,778.9,8997,7454,Investment Services
Grupo Bimbo,329,13492,13770,Food Processing
Grupo Carso,390.2,10515,5556,Conglomerates
Grupo Galicia,468.5,3890,4185,Regional Banks
Grupo Inbursa,738.5,13260,3214,Regional Banks
Grupo Mexico,1179.5,18525,8152,Diversified Metals & Mining
Grupo Televisa,686.3,15641,5545,Broadcasting & Cable
Guangdong Electric Power,500.6,4308,4143,Electric Utilities
Guangdong Investment,503.7,8543,1183,Diversified Utilities
Guangdong Wens Foodstuffs Group,987.3,26420,7675,Food Processing
Guangzhou Automobile Group,672,17021,4522,Auto & Truck Manufacturers
Guangzhou R&F,996.9,4562,7018,Real Estate
Guaranty Trust Bank,490.8,2255,1472,Regional Banks
Gudang Garam,480.4,9768,5252,Tobacco
Gunma Bank,239.3,1982,1087,Regional Banks
Guosen Securities,1813.9,19499,6008,Investment Services
Guotai Junan Securities,1096.8,22207,3699,Major Banks
H&M,2337.8,60841,21725,Apparel/Footwear Retail
HAL Trust,698.6,15721,8726,Investment Services
HCA Holdings,2129,32022,39678,Healthcare Services
HCL Technologies,1179.4,17911,5916,Software & Programming
HCP,-514.7,15758,2541,Real Estate
HD Supply Holdings,1286,6901,7887,Home Improvement Retail
HDFC,1461,26865,7949,Consumer Financial Services
HDFC Bank,1957.3,41505,11372,Regional Banks
HP,3780,21903,87974,Computer Hardware
HRG Group,-480.9,2814,5766,Household/Personal Care
HSBC Holdings,13478.6,132956,70267,Major Banks
Habib Bank,341.7,2439,1727,Regional Banks
Hachijuni Bank,222.1,2398,1278,Regional Banks
Hainan Airlines,478.5,5842,5587,Airline
Haitong Securities,2524.6,25080,8694,Investment Services
Halkbank,1008.3,4829,6256,Regional Banks
Halliburton,-671,35062,23633,Oil Services & Equipment
Halyk Bank,538.7,1075,1648,Regional Banks
Hammerson,1110.4,6455,457,Real Estate
Hana Financial Group,779.9,6732,11725,Regional Banks
Hanergy Thin Film Power Group,-1578,21028,363,Electric Utilities
Hanesbrands,428.9,11078,5732,Apparel/Accessories
Hang Lung Group,414.2,4201,1229,Real Estate
Hankook Tire,579.1,5883,5680,
Hankyu Hanshin Holdings,457.9,8267,5449,Railroads
Hanover Insurance Group,331.5,3705,5061,Property & Casualty Insurance
Hanwa,95.5,952,13234,Diversified Metals & Mining
Hanwha Chemical,166.2,3767,7101,Diversified Chemicals
Hanwha Corp,-251.8,2622,36558,Trading Companies
Harbin Bank,709,3175,3662,Regional Banks
Harley-Davidson,732.8,8910,6072,Recreational Products
Harman International,343.5,6280,6546,Consumer Electronics
Harris,82.9,9951,6376,Communications Equipment
Hartford Financial Services,1673,18011,18356,Diversified Insurance
Hasbro,473.9,10921,4572,Household/Personal Care
Haseko,428.3,2996,6036,Construction Services
Hebei Iron & Steel,113.2,5250,13441,Iron & Steel
HeidelbergCement,887.2,16577,14931,Construction Materials
Heilan Home,490.3,7542,2480,Apparel/Footwear Retail
Heineken Holding,2098.1,23265,22745,Beverages
Helvetia Holding,319.7,5587,9453,Diversified Insurance
Henderson Land,2750.8,21124,3115,Real Estate
Hengan International Group,522.5,11385,3154,Household/Personal Care
Henkel,2130.2,46481,20059,Household/Personal Care
Henry Schein,479.1,14033,10630,Medical Equipment & Supplies
Hermès International,1078.5,36427,5368,Apparel/Accessories
Hero Motocorp,386.8,9007,4493,Recreational Products
Hershey,513,19465,7387,Food Processing
Hertz Global Holdings,273,3892,10535,Rental & Leasing
Hess,-3056,20075,6682,Oil & Gas Operations
Hewlett Packard Enterprise,2461,30023,51831,Computer Hardware
Hexagon,554,14535,3374,Other Industrial Equipment
Hikvision,938.4,19532,4084,Electronics
Hilton Worldwide Holdings,1404,21428,11272,Hotels & Motels
Hindalco Industries,139.7,3133,16934,Aluminum
Hindustan Petroleum,245.1,4338,34443,Oil & Gas Operations
Hiroshima Bank,255.3,2460,1054,Regional Banks
Hitachi,1977.1,23329,84039,Electronics
Hokkaido Electric Power,200.5,1715,5984,Electric Utilities
Hokkoku Bank,44.1,862,623,Regional Banks
Hokuhoku Financial Group,246.9,1923,1493,Regional Banks
HollyFrontier,737.8,6396,13082,Oil & Gas Operations
Home Depot,7009,169777,88519,Home Improvement Retail
Hon Hai Precision,4625.1,39202,141152,Electronics
Honda Motor,4425.8,51090,118094,Auto & Truck Manufacturers
Honeywell International,4768,86922,38581,Conglomerates
Hong Kong Exchanges,1026.2,31785,1666,Investment Services
Hong Leong Financial,372.2,4468,2117,Investment Services
Hormel Foods,749.4,19957,9161,Food Processing
Host Hotels & Resorts,558,11463,5387,Real Estate
Hoya,771.4,15949,4225,Electronics
Hua Nan Financial,443.4,4814,1747,Consumer Financial Services
Huadian Power International,1175.7,7716,10598,Electric Utilities
Huaneng Power International,2204.8,16291,20333,Electric Utilities
Huatai Securities,1707.7,19196,4228,Investment Services
Huaxia Bank,3007.4,16687,16932,Regional Banks
Hudson's Bay,296.2,2383,8611,
Huishang Bank,980.5,5428,4958,Regional Banks
Humana,1276,26123,54289,Managed Health Care
Huntington Bancshares,698.4,8166,3258,Regional Banks
Huntington Ingalls Industries,404,6814,7020,Aerospace & Defense
Huntsman,93,3625,10299,Diversified Chemicals
Husky Energy,-3009.3,14348,12783,Oil & Gas Operations
Hyakugo Bank,113.9,1004,668,Regional Banks
Hyakujushi Bank,89.3,941,563,Regional Banks
Hydro One,549.5,11002,5110,Electric Utilities
Hyosung,435.3,4079,11008,Diversified Metals & Mining
Hyundai Engineering,325.1,3846,16895,Construction Services
Hyundai Glovis,333.1,6233,12963,Other Transportation
Hyundai Heavy Industries,-1210.6,7670,40848,Heavy Equipment
Hyundai Marine & Fire,187.6,2574,10978,Property & Casualty Insurance
Hyundai Mobis,2699.6,21257,32108,Auto & Truck Parts
Hyundai Motor,5670,28938,81250,Auto & Truck Manufacturers
Hyundai Steel,648.2,7317,14254,Iron & Steel
IBM,12883,142691,80836,Computer Services
ICA Gruppen,435,6508,11998,Food Retail
ICAP,205.4,4410,1940,Investment Services
ICBC,44160.3,198042,171077,Major Banks
ICICI Bank,2003.5,22020,15285,Regional Banks
IDBI Bank,154,2243,5299,Regional Banks
IDGC Holding,1044.6,1569,12509,Electric Utilities
IHH Healthcare,238.9,14176,2163,
IHI,-430.3,3600,12720,Heavy Equipment
IMS Health Holdings,417,8817,2921,Computer Services
ING Group,5463.6,49891,55674,Major Banks
INTL FCStone,53.9,539,24469,Regional Banks
ISS,328.7,7084,11831,
ITC,1580.4,39392,6286,Tobacco
ITV,756.3,13146,4541,Broadcasting & Cable
Iberdrola,2685.3,44087,34841,Electric Utilities
Idea Cellular,537,6361,5433,Telecommunications services
Idemitsu Kosan,-894.8,3396,31786,Oil & Gas Operations
Iida Group Holdings,350.8,5805,9526,
Iliad,371.4,12545,4895,Computer Services
Illinois Tool Works,1909,37767,13337,Other Industrial Equipment
Illumina,461.6,21119,2220,Biotechs
Imperial Tobacco Group,2611.4,49347,39054,Tobacco
Inchcape,268.6,4230,10445,Specialty Stores
Incyte,6.5,14394,754,
Indian Bank,171.5,726,2817,Regional Banks
Indian Oil,803.4,15644,70626,Oil & Gas Operations
Indian Overseas Bank,-300,866,4144,Regional Banks
Inditex,3170.6,103230,23052,Apparel/Footwear Retail
IndusInd Bank,349.2,8762,2267,Regional Banks
Industrial Alliance Insurance,301.7,3361,6487,Life & Health Insurance
Industrial Bank,8043.1,47330,45031,Regional Banks
Industrial Bank of Korea,1009.9,6319,8585,Regional Banks
Industrial Securities,663,8705,2481,Investment Services
Industries Qatar,1220.8,17744,1436,Specialized Chemicals
Infineon Technologies,726.3,15799,6901,Semiconductors
Infosys,2060.5,41698,9537,Computer Services
Ingersoll-Rand,664.6,16591,13301,Conglomerates
Ingram Micro,215.1,5196,43026,Electronics
Ingredion,402.3,7629,5620,Food Processing
Inner Mongolia Baotou Steel,-526.1,15796,3553,Iron & Steel
Inner Mongolia Yili,737,13254,9564,Food Processing
Innolux,340.6,3342,11467,Computer Hardware
Inotera Memories,569.3,5954,1914,Semiconductors
Inpex,359.2,12258,8704,Oil & Gas Operations
Insurance Australia Group,461.5,10876,7446,Property & Casualty Insurance
Intact Financial,551.8,9531,6264,Property & Casualty Insurance
Intel,11474,149259,56276,Semiconductors
Inter Rao,370.6,2845,13138,Electric Utilities
InterContinental Hotels,1220.5,9524,1803,Hotels & Motels
Interactive Brokers Group,95,2570,1575,Investment Services
IntercontinentalExchange,1274,28705,3338,Investment Services
International Airlines,1665.8,15360,25316,Airline
International Flavors & Fragrances,411.7,9628,3023,Specialized Chemicals
International Paper,938,17828,22365,Paper & Paper Products
Interpublic Group,454.6,9428,7614,Advertising
Intesa Sanpaolo,3142.7,46409,39064,Regional Banks
Intu Properties,792,5630,917,Real Estate
Intuit,508,26280,4526,Software & Programming
Intuitive Surgical,588.8,24288,2384,Medical Equipment & Supplies
Inventec,175.2,2326,12454,Computer Hardware
Invesco,943.5,13447,5097,Investment Services
Investec,496.5,7051,5052,Investment Services
Investor AB,2066.4,28780,4975,Investment Services
Isbank,1808.4,7829,14572,Regional Banks
Isetan Mitsukoshi Holdings,296.3,4501,10734,Department Stores
Israel Corp,443.3,1567,5407,Investment Services
Israel Discount Bank,190.5,1807,2270,Regional Banks
Isuzu Motors,943.7,9822,16079,Auto & Truck Manufacturers
Itaú Unibanco Holding,7705.9,50476,50919,Regional Banks
Itaúsa,2654.8,15579,1462,Conglomerates
Itochu,2892.3,21968,43249,Trading Companies
Ivanhoe Mines,727.8,634,,Diversified Metals & Mining
Iyo Bank,192.6,2209,922,Regional Banks
J Sainsbury,679.5,8112,36333,Food Retail
JB Financial Group,101.3,804,1726,Regional Banks
JB Hunt Transport,435.4,9689,6276,Trucking
JBS,1389.1,6952,48772,Food Processing
JC Penney,-573,2925,12625,Department Stores
JD.com,-1491.4,38829,28830,Internet & Catalog Retail
JFE Holdings,580.6,10291,29564,Iron & Steel
JG Summit Holdings,496.6,12805,4875,Conglomerates
JM Smucker,405.9,15098,7436,Food Processing
JPMorgan Chase,23548,234247,99881,Major Banks
JSW Steel,-132.6,4879,8666,Iron & Steel
JTEKT,401.6,4898,11661,Auto & Truck Parts
JX Holdings,-2119.5,10737,76222,Oil & Gas Operations
Jabal Omar Development,-26.9,15184,172,Consumer Financial Services
Jabil Circuit,369,3434,18651,Electronics
Jaccs,55.8,678,927,Consumer Financial Services
Jacobs Engineering,249.4,5363,11776,Construction Services
Japan Airlines,1429.4,13326,11116,Airline
Japan Exchange Group,313.4,8969,982,Investment Services
Japan Post Holdings,4393.8,62570,129795,Life & Health Insurance
Japan Securities,23.7,411,184,Investment Services
Japan Tobacco,4011.8,84335,19241,Tobacco
Jardine Matheson,1797,42142,37007,Conglomerates
Jazz Pharmaceuticals,329.5,9616,1325,Pharmaceuticals
Jeronimo Martins,369.6,10158,15223,Food Retail
JetBlue Airways,677,6583,6416,Airline
Jiangsu Hengrui Medicine,345.5,14120,1457,Pharmaceuticals
Jiangsu Yanghe Brewery,801.2,15513,2539,Beverages
Jiangxi Copper,104.6,6259,29392,Diversified Metals & Mining
John Deere,1807.1,26109,27956,Heavy Equipment
Johnson & Johnson,15381,312575,70236,Medical Equipment & Supplies
Johnson Controls,447,27180,36317,Auto & Truck Parts
Johnson Matthey,826.2,8075,17011,Diversified Chemicals
Joint Stock Commercial Bank for Foreign Trade of Vietnam,242.4,5464,1782,Regional Banks
Jones Lang LaSalle,438.4,5449,5966,Real Estate
Joyo Bank,239.3,2834,1116,Regional Banks
Julius Baer Group,125.9,9371,3157,Regional Banks
Juniper Networks,633.7,9130,4859,Communications Equipment
Juroku Bank,183,1187,1017,Regional Banks
Jyske Bank,368.1,4041,2453,Regional Banks
K+S,549.1,4780,4630,Diversified Chemicals
KB Financial Group,1416.4,12133,13846,Regional Banks
KBC Group,2926.4,23418,14882,Regional Banks
KDDI,4009.8,81631,37337,Telecommunications services
KIA Motors,2324.3,17203,43754,Auto & Truck Manufacturers
KLA-Tencor,530.8,11192,2842,Semiconductors
KPN,574.4,16478,7949,Telecommunications services
KT Corp,488.6,6490,19720,Telecommunications services
KT&G,874.2,14811,3566,Tobacco
KWG Property Holding,542.6,1974,1326,Consumer Financial Services
Kaisa Group Holdings,515.5,1033,3175,Consumer Financial Services
Kajima,333.5,6781,14412,Construction Services
Kangmei Pharmaceutical,465.2,10017,2834,Pharmaceuticals
Kangwon Land,390.2,7845,1443,Casinos & Gaming
Kansai Electric Power,252.5,8471,27386,Electric Utilities
Kansas City Southern,490.5,10607,2378,Railroads
Kao Corp,816.6,26667,12157,Household/Personal Care
Kasikornbank,1048.9,11065,7550,Regional Banks
Kawasaki Heavy Industries,299.7,5125,12681,Heavy Equipment
Kawasaki Kisen Kaisha,25.5,2136,10863,Other Transportation
Keiyo Bank,111,1073,560,Regional Banks
Kellogg,614,26516,13529,Food Processing
Keppel Corp,991.7,7660,6654,Conglomerates
Kering,707.9,21500,12846,Apparel/Accessories
Kerry Group,582.6,16052,6770,Food Processing
Kerry Properties,713.3,4019,1407,
KeyCorp,871,10418,4511,Major Banks
Keyence,1108.8,36511,3082,Electronics
Kimberly-Clark,1013,45693,18591,Household/Personal Care
Kimco Realty,614.9,11693,1173,Real Estate
Kinder Morgan,213,40436,13769,Oil Services & Equipment
Kingdom Holding,188.5,12234,537,Investment Services
Kingfisher,626.8,11964,15886,Home Improvement Retail
Kintetsu,297.6,8016,10037,Railroads
Kirin Holdings,-390.9,13503,18147,Beverages
Kiyo Bank,136.8,873,657,Regional Banks
Klepierre,-554.2,14018,1586,
Kobe Steel,70.9,4009,15419,Iron & Steel
Kohl's,673,8418,19204,Department Stores
Koito Manufacturing,326.8,6991,6611,Auto & Truck Parts
Komatsu,1166.6,17755,15798,Heavy Equipment
Kone,1144.7,23718,9589,Construction Services
Konica Minolta,307.4,4561,8592,Consumer Electronics
Korea Electric Power,11741.5,33064,52092,Electric Utilities
Korea Gas,282,3147,23019,Natural Gas Utilities
Korea Investment Holdings,286.5,2421,1242,Investment Services
Korea Zinc,450.1,8225,4216,Diversified Metals & Mining
Korean Air,-499.2,1970,10200,Airline
Kotak Mahindra Bank,516.7,18639,3529,Regional Banks
Koç Holding,1308.1,13522,25479,Conglomerates
Kraft Heinz Company,634,94906,20213,Food Processing
Kroger,2027,34245,109830,Food Retail
Krung Thai Bank,802.8,6940,4856,Regional Banks
Kubota,1198.1,19639,13709,Heavy Equipment
Kuehne + Nagel,702.1,17156,17376,Other Transportation
Kuwait Finance House,496.2,8211,3360,Regional Banks
