name,profits,marketValue,revenue,industry
Antero Resources,941.4,7960,2430,
Anthem,2560,38748,79240,Managed Health Care
Aon,1385,27881,11685,Insurance Brokers
Aozora Bank,368.1,4238,974,Regional Banks
Apache,-23119,21272,6551,Oil & Gas Operations
Apple,53731,585951,233273,Computer Hardware
Applied Materials,1315,23858,9557,Semiconductors
Arab Bank,430.6,5471,2296,Regional Banks
Arab Banking,180,1228,1625,Regional Banks
Arab National Bank,784.7,5453,1546,Regional Banks
Aramark,243.8,8218,14337,
Arca Continental,456.3,11340,4814,Beverages
ArcelorMittal,-8022,17501,63534,Iron & Steel
Arch Capital Group,537.7,8645,4037,Property & Casualty Insurance
Archer Daniels Midland,1849,23263,67621,Food Processing
Areva,-2059.3,1804,4656,Diversified Utilities
Arkema,316,5920,8520,Diversified Chemicals
Aroundtown Property Holdings,761.7,2901,139,Real Estate
Arrow Electronics,497.7,5829,23282,Electronics
Arthur J. Gallagher,356.8,7976,5360,Insurance Brokers
Asahi Glass,354.4,6917,10955,Construction Materials
Asahi Group Holdings,631.3,15965,15342,Beverages
Asahi Kasei,735.3,10098,16229,Diversified Chemicals
Ashikaga Holdings,159,1016,796,Regional Banks
Ashland,353,7324,5160,Specialized Chemicals
Ashtead Group,567.4,6456,3680,
Aspen Pharmacare Holdings,474.1,10134,2786,Pharmaceuticals
Assa Abloy,911.9,22491,8072,Other Industrial Equipment
Associated Banc-Corp,182.7,2737,1101,Regional Banks
Associated British Foods,1128.4,35723,19163,Food Processing
Assurant,141.6,5057,10329,Diversified Insurance
Assured Guaranty,1056,3601,2207,Diversified Insurance
Astellas Pharma,1533.6,31293,11235,Pharmaceuticals
AstraZeneca,2823.7,75019,24714,Pharmaceuticals
Asustek Computer,538.4,6610,14875,Computer Hardware
Atlantia,945.9,22210,5806,Other Transportation
Atlas Copco,1388.9,32762,12110,Other Industrial Equipment
Attijariwafa Bank,461.4,7160,3230,Regional Banks
Aurubis,92,2378,11930,Diversified Metals & Mining
AutoNation,427,5102,21037,Specialty Stores
AutoZone,1196.9,23023,10427,Specialty Stores
Autodesk,-292.9,13366,2472,Software & Programming
Autoliv,456.8,9938,9170,Auto & Truck Parts
Automatic Data,1426.3,41010,11247,Business & Personal Services
Avalonbay Communities,740.3,24712,1852,Real Estate
Avis Budget Group,313,2386,8502,Rental & Leasing
Aviva,1402.5,25717,35974,Life & Health Insurance
Avnet,566.5,5756,27351,Electronics
Axiata Group,653.3,13239,5086,Communications Equipment
Axis Bank,1218.1,17003,7289,Regional Banks
Axis Capital Holdings,641.6,5103,4213,Diversified Insurance
Ayala Corporation,489.3,10462,3822,Conglomerates
BAE Systems,1402.5,22378,25647,Aerospace & Defense
BAIC Motor,529.8,5415,13369,Auto & Truck Manufacturers
BASF,4421.3,73229,78122,Diversified Chemicals
BB&T,2123,29096,10583,Major Banks
BBMG,320.5,6463,6153,Construction Materials
BBVA-Banco Bilbao Vizcaya,2929.8,46875,25819,Regional Banks
BCE,2093.2,39921,16816,Telecommunications services
BCI-Banco Credito,505.1,5161,2760,Regional Banks
BCV Group,349.3,6077,1322,Regional Banks
BEKB-BCBE,136.3,1871,595,Regional Banks
BHP Billiton,-6080.7,80324,30463,Diversified Metals & Mining
BM&F Bovespa,659.3,8428,664,Investment Services
BMCE Bank,200.4,3750,1793,Regional Banks
BMW Group,7062.7,60382,102215,Auto & Truck Manufacturers
BNP Paribas,7423.1,66847,74910,Major Banks
BOE Technology Group,435.3,12933,7666,Electronics
BOK Financial,285.2,4066,1395,Regional Banks
BP,-6465.2,98954,218702,Oil & Gas Operations
BPI,400.5,7586,1604,Regional Banks
BRF,874.5,10892,9639,Food Processing
BS Financial Group,429,2828,3530,Regional Banks
BT Group,3853.1,62441,27335,Telecommunications services
BYD,447.1,20057,12489,Auto & Truck Manufacturers
Babcock International Group,417.3,6988,6323,Business & Personal Services
Baidu,5282.2,66051,10545,Computer Services
Bajaj Auto,494.8,10964,3510,Recreational Products
Baker Hughes,-1967,20331,15742,Oil Services & Equipment
Ball,280.9,10723,7994,Containers & Packaging
Banca CARIGE,-112.9,693,1325,Regional Banks
Banca MPS,-124.2,2248,5179,Regional Banks
Banca Mediolanum,486.4,5930,1879,Life & Health Insurance
Banca Popolare dell'Emilia,244.7,2819,3273,Regional Banks
Banca Popolare di Milano,320.4,3267,2205,Regional Banks
Banca Popolare di Sondrio,143.4,1695,1572,Regional Banks
Banca Transilvania,610.9,2012,881,Regional Banks
Banco BPI,262.1,1766,2821,Regional Banks
Banco Bradesco,5146.1,41505,65869,Regional Banks
Banco Comercial Portugues,261.1,2680,4156,Regional Banks
Banco Continental,430.5,3946,1781,Regional Banks
Banco Davivienda,447.2,4132,3970,Regional Banks
Banco De Venezuela,2542.1,1238,3472,Regional Banks
Banco Occidental,532.8,417,3095,Regional Banks
Banco Popolare,476.9,2542,3900,Regional Banks
Banco Popular Espanol,116.9,6218,5206,Regional Banks
Banco Santander,6622.3,72526,49786,Major Banks
Banco de Chile,147.3,3664,3878,Regional Banks
Banco de Sabadell,785.6,10760,7970,Regional Banks
"Banco del Caribe, C.A. Banco Universal",502,82,2017,Regional Banks
